feature_id,source,original_id,short_name,category,text,llm,scoring_format,prompt_template_ref,fire_rate_train,pos_lift_at_0.5,univariate_cv_f0.5,univariate_cv_precision,univariate_cv_recall,pointbiserial_r,lr_coefficient_in_ensemble,notes
taste_A5_deep_domain_expertise,taste_policy_decomposition,A5_deep_domain_expertise,A5_deep_domain_expertise,accept,"This founder has deep domain expertise: their professional experience is concentrated in the same industry as their current startup, with 5 or more years of relevant experience in that industry.",gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.2507,1.379,0.1424,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_A6_clevel_mid_large_co,taste_policy_decomposition,A6_clevel_mid_large_co,A6_clevel_mid_large_co,accept,"This founder held a C-level role (CEO, CTO, CRO, CMO, COO, or equivalent) at a company with 200 or more employees.",gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.1856,1.623,0.1629,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_A7_vc_investor_experience,taste_policy_decomposition,A7_vc_investor_experience,A7_vc_investor_experience,accept,"This founder has professional experience in venture capital, private equity, angel investing, or as a professional investor.",gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.072,2.058,0.1764,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_A8_prior_ipo,taste_policy_decomposition,A8_prior_ipo,A8_prior_ipo,accept,"This founder has an IPO (initial public offering) in their track record, either as a founder or as a senior executive at the company that went public.",gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.0047,4.762,0.092,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_R1_long_tenure_no_progression,taste_policy_decomposition,R1_long_tenure_no_progression,R1_long_tenure_no_progression,reject,This founder spent 10 or more years at a single company without reaching Director level or above.,gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.0396,1.061,0.0761,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_R2_backoffice_roles,taste_policy_decomposition,R2_backoffice_roles,R2_backoffice_roles,reject,"This founder's most senior roles are in back-office, support, QA, or non-core functions (for example: QA lead, SDET, customer success manager, program manager, administrative roles) rather than product, engineering, research, or executive leadership.",gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.1562,0.3,0.0295,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_R3_consulting_agency,taste_policy_decomposition,R3_consulting_agency,R3_consulting_agency,reject,"This founder's primary professional experience is in consulting, agencies, freelancing, or professional services rather than building products or technology companies.",gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.1707,0.448,0.0446,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_R4_short_stints_unfocused,taste_policy_decomposition,R4_short_stints_unfocused,R4_short_stints_unfocused,reject,"This founder has multiple short stints (less than 2 years each) across unrelated industries, suggesting an unfocused or scattered career path.",gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.5944,0.98,0.1063,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_R5_domain_mismatch,taste_policy_decomposition,R5_domain_mismatch,R5_domain_mismatch,reject,This founder's current startup is in an industry that is completely unrelated to any of their prior professional experience or education.,gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.2304,0.536,0.0549,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_R6_low_rank_no_compensating,taste_policy_decomposition,R6_low_rank_no_compensating,R6_low_rank_no_compensating,reject,"This founder's highest degree is from a low-ranked institution (QS rank 200+) AND they have no other strong compensating signals such as senior leadership roles, prior exits, or C-level experience.",gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.28,0.476,0.0496,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_R7_junior_only,taste_policy_decomposition,R7_junior_only,R7_junior_only,reject,"This founder has only held junior-level roles throughout their career (analyst, intern, associate, junior engineer) with no progression to senior or leadership positions.",gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.0713,0.623,0.0533,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_M1_elite_university,taste_policy_decomposition,M1_elite_university,M1_elite_university,meta,This founder has a degree from an elite university (QS rank 10 or better).,gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.1213,2.157,0.2047,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_M2_10plus_years_experience,taste_policy_decomposition,M2_10plus_years_experience,M2_10plus_years_experience,meta,This founder has 10 or more years of total professional experience (sum of all roles listed).,gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.4284,1.043,0.1115,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_M3_fast_career_velocity,taste_policy_decomposition,M3_fast_career_velocity,M3_fast_career_velocity,meta,"This founder shows fast career velocity: they progressed from individual contributor roles to Director, VP, or C-level within roughly 10 years of starting their career.",gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.3089,1.191,0.1249,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_M4_tech_industry_startup,taste_policy_decomposition,M4_tech_industry_startup,M4_tech_industry_startup,meta,"This founder's current startup is in a technology-related industry (such as software, AI, cybersecurity, biotech, data analytics, cloud computing, robotics, or similar).",gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.5038,1.284,0.1383,,,,,20-policy ensemble; CV F0.5 ~0.308
taste_M5_very_large_company_exp,taste_policy_decomposition,M5_very_large_company_exp,M5_very_large_company_exp,meta,"This founder has worked at a very large company with 10,000 or more employees.",gemini-2.0-flash,binary,prompts/taste_policy_decomposition.md,0.474,1.271,0.1365,,,,,20-policy ensemble; CV F0.5 ~0.308
